,precos,status
0,1,FAZER
1,2,FAZER
2,3,FAZER
3,4,FAZER
4,5,FAZER
5,6,FAZER
6,7,FAZER
7,8,FAZER
8,9,FAZER
9,10,FAZER
10,11,FAZER
11,12,FAZER
12,13,FAZER
13,14,FAZER
14,15,FAZER
15,16,FAZER
16,17,FAZER
17,18,FAZER
18,19,FAZER
19,20,FAZER
20,21,FAZER
21,22,FAZER
22,23,FAZER
23,24,FAZER
24,25,FAZER
25,26,FAZER
26,27,FAZER
27,28,FAZER
28,29,FAZER
29,30,FAZER
30,31,FAZER
31,32,FAZER
32,33,FAZER
33,34,FAZER
34,35,FAZER
35,36,FAZER
36,37,FAZER
37,38,FAZER
38,39,FAZER
39,40,FAZER
40,41,FAZER
41,42,FAZER
42,43,FAZER
43,44,FAZER
44,45,FAZER
45,46,FAZER
46,47,FAZER
47,48,FAZER
48,49,FAZER
49,50,FAZER
50,51,FAZER
51,52,FAZER
52,53,FAZER
53,54,FAZER
54,55,FAZER
55,56,FAZER
56,57,FAZER
57,58,FAZER
58,59,FAZER
59,60,FAZER
60,61,FAZER
61,62,FAZER
62,63,FAZER
63,64,FAZER
64,65,FAZER
65,66,FAZER
66,67,FAZER
67,68,FAZER
68,69,FAZER
69,70,FAZER
70,71,FAZER
71,72,FAZER
72,73,FAZER
73,74,FAZER
74,75,FAZER
75,76,FAZER
76,77,FAZER
77,78,FAZER
78,79,FAZER
79,80,FAZER
80,81,FAZER
81,82,FAZER
82,83,FAZER
83,84,FAZER
84,85,FAZER
85,86,FAZER
86,87,FAZER
87,88,FAZER
88,89,FAZER
89,90,FAZER
90,91,FAZER
91,92,FAZER
92,93,FAZER
93,94,FAZER
94,95,FAZER
95,96,FAZER
96,97,FAZER
97,98,FAZER
98,99,FAZER
99,100,FAZER
100,101,FAZER
101,102,FAZER
102,103,FAZER
103,104,FAZER
104,105,FAZER
105,106,FAZER
106,107,FAZER
107,108,FAZER
108,109,FAZER
109,110,FAZER
110,111,FAZER
111,112,FAZER
112,113,FAZER
113,114,FAZER
114,115,FAZER
115,116,FAZER
116,117,FAZER
117,118,FAZER
118,119,FAZER
119,120,FAZER
120,121,FAZER
121,122,FAZER
122,123,FAZER
123,124,FAZER
124,125,FAZER
125,126,FAZER
126,127,FAZER
127,128,FAZER
128,129,FAZER
129,130,FAZER
130,131,FAZER
131,132,FAZER
132,133,FAZER
133,134,FAZER
134,135,FAZER
135,136,FAZER
136,137,FAZER
137,138,FAZER
138,139,FAZER
139,140,FAZER
140,141,FAZER
141,142,FAZER
142,143,FAZER
143,144,FAZER
144,145,FAZER
145,146,FAZER
146,147,FAZER
147,148,FAZER
148,149,FAZER
149,150,FAZER
150,151,FAZER
151,152,FAZER
152,153,FAZER
153,154,FAZER
154,155,FAZER
155,156,FAZER
156,157,FAZER
157,158,FAZER
158,159,FAZER
159,160,FAZER
160,161,FAZER
161,162,FAZER
162,163,FAZER
163,164,FAZER
164,165,FAZER
165,166,FAZER
166,167,FAZER
167,168,FAZER
168,169,FAZER
169,170,FAZER
170,171,FAZER
171,172,FAZER
172,173,FAZER
173,174,FAZER
174,175,FAZER
175,176,FAZER
176,177,FAZER
177,178,FAZER
178,179,FAZER
179,180,FAZER
180,181,FAZER
181,182,FAZER
182,183,FAZER
183,184,FAZER
184,185,FAZER
185,186,FAZER
186,187,FAZER
187,188,FAZER
188,189,FAZER
189,190,FAZER
190,191,FAZER
191,192,FAZER
192,193,FAZER
193,194,FAZER
194,195,FAZER
195,196,FAZER
196,197,FAZER
197,198,FAZER
198,199,FAZER
199,200,FAZER
200,201,FAZER
201,202,FAZER
202,203,FAZER
203,204,FAZER
204,205,FAZER
205,206,FAZER
206,207,FAZER
207,208,FAZER
208,209,FAZER
209,210,FAZER
210,211,FAZER
211,212,FAZER
212,213,FAZER
213,214,FAZER
214,215,FAZER
215,216,FAZER
216,217,FAZER
217,218,FAZER
218,219,FAZER
219,220,FAZER
220,221,FAZER
221,222,FAZER
222,223,FAZER
223,224,FAZER
224,225,FAZER
225,226,FAZER
226,227,FAZER
227,228,FAZER
228,229,FAZER
229,230,FAZER
230,231,FAZER
231,232,FAZER
232,233,FAZER
233,234,FAZER
234,235,FAZER
235,236,FAZER
236,237,FAZER
237,238,FAZER
238,239,FAZER
239,240,FAZER
240,241,FAZER
241,242,FAZER
242,243,FAZER
243,244,FAZER
244,245,FAZER
245,246,FAZER
246,247,FAZER
247,248,FAZER
248,249,FAZER
249,250,FAZER
250,251,FAZER
251,252,FAZER
252,253,FAZER
253,254,FAZER
254,255,FAZER
255,256,FAZER
256,257,FAZER
257,258,FAZER
258,259,FAZER
259,260,FAZER
260,261,FAZER
261,262,FAZER
262,263,FAZER
263,264,FAZER
264,265,FAZER
265,266,FAZER
266,267,FAZER
267,268,FAZER
268,269,FAZER
269,270,FAZER
270,271,FAZER
271,272,FAZER
272,273,FAZER
273,274,FAZER
274,275,FAZER
275,276,FAZER
276,277,FAZER
277,278,FAZER
278,279,FAZER
279,280,FAZER
280,281,FAZER
281,282,FAZER
282,283,FAZER
283,284,FAZER
284,285,FAZER
285,286,FAZER
286,287,FAZER
287,288,FAZER
288,289,FAZER
289,290,FAZER
290,291,FAZER
291,292,FAZER
292,293,FAZER
293,294,FAZER
294,295,FAZER
295,296,FAZER
296,297,FAZER
297,298,FAZER
298,299,FAZER
